address,region,english_symbol,classification,german_address,evidence,resolution_method
0xc026,WRAM,wChannelSoundIDs,IDENTICAL_ADDRESS,0xc026,ROM offset 0x90a1 (bank 2): identical opcode+operand bytes 2126c0 in both ROMs,direct_symbol_match
0xc2f4,WRAM,wSpritePikachuStateData2MapY,IDENTICAL_ADDRESS,0xc2f4,ROM offset 0xfcccb (bank 63): identical opcode+operand bytes faf4c2 in both ROMs,direct_symbol_match
0xc2f5,WRAM,wSpritePikachuStateData2MapX,IDENTICAL_ADDRESS,0xc2f5,ROM offset 0xfccd9 (bank 63): identical opcode+operand bytes faf5c2 in both ROMs,direct_symbol_match
0xc4e1,WRAM,wTileMap+321,IDENTICAL_ADDRESS,0xc4e1,ROM offset 0x1748 (bank 0): identical opcode+operand bytes 21e1c4 in both ROMs,direct_rom_evidence
0xc4e2,WRAM,wTileMap+322,IDENTICAL_ADDRESS,0xc4e2,ROM offset 0xe4c95 (bank 57): identical opcode+operand bytes 11e2c4 in both ROMs,direct_rom_evidence
0xc4e3,WRAM,wTileMap+323,IDENTICAL_ADDRESS,0xc4e3,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 323 applied unverified, not independently confirmed",structural_inference
0xc4e4,WRAM,wTileMap+324,IDENTICAL_ADDRESS,0xc4e4,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 324 applied unverified, not independently confirmed",structural_inference
0xc4e5,WRAM,wTileMap+325,IDENTICAL_ADDRESS,0xc4e5,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 325 applied unverified, not independently confirmed",structural_inference
0xc4e6,WRAM,wTileMap+326,IDENTICAL_ADDRESS,0xc4e6,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 326 applied unverified, not independently confirmed",structural_inference
0xc4e7,WRAM,wTileMap+327,IDENTICAL_ADDRESS,0xc4e7,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 327 applied unverified, not independently confirmed",structural_inference
0xc4e8,WRAM,wTileMap+328,IDENTICAL_ADDRESS,0xc4e8,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 328 applied unverified, not independently confirmed",structural_inference
0xc4e9,WRAM,wTileMap+329,RELOCATED,0xc4e7,"ROM offset 0x3cfd6 (bank 15): same opcode (0x21) at the same site, operand changed from 0xc4e9 to 0xc4e7",direct_rom_evidence
0xc4ea,WRAM,wTileMap+330,IDENTICAL_ADDRESS,0xc4ea,ROM offset 0x21505 (bank 8): identical opcode+operand bytes 21eac4 in both ROMs,direct_rom_evidence
0xc4eb,WRAM,wTileMap+331,IDENTICAL_ADDRESS,0xc4eb,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 331 applied unverified, not independently confirmed",structural_inference
0xc4ec,WRAM,wTileMap+332,IDENTICAL_ADDRESS,0xc4ec,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 332 applied unverified, not independently confirmed",structural_inference
0xc4ed,WRAM,wTileMap+333,IDENTICAL_ADDRESS,0xc4ed,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 333 applied unverified, not independently confirmed",structural_inference
0xc4ee,WRAM,wTileMap+334,IDENTICAL_ADDRESS,0xc4ee,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 334 applied unverified, not independently confirmed",structural_inference
0xc4ef,WRAM,wTileMap+335,IDENTICAL_ADDRESS,0xc4ef,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 335 applied unverified, not independently confirmed",structural_inference
0xc4f0,WRAM,wTileMap+336,IDENTICAL_ADDRESS,0xc4f0,"structural inference: base symbol wTileMap is IDENTICAL_ADDRESS in German (ROM offset 0xb63 (bank 0): identical opcode+operand bytes 11a0c3 in both ROMs) — offset 336 applied unverified, not independently confirmed",structural_inference
0xc4f1,WRAM,wTileMap+337,IDENTICAL_ADDRESS,0xc4f1,ROM offset 0x214f7 (bank 8): identical opcode+operand bytes 21f1c4 in both ROMs,direct_rom_evidence
0xc5d1,WRAM,wSurfingMinigameRoutineNumber,IDENTICAL_ADDRESS,0xc5d1,ROM offset 0xf8085 (bank 62): identical opcode+operand bytes fad1c5 in both ROMs,direct_symbol_match
0xc5dc,WRAM,wSurfingMinigameTotalScore,IDENTICAL_ADDRESS,0xc5dc,ROM offset 0xa989 (bank 2): identical opcode+operand bytes 31dcc5 in both ROMs,direct_symbol_match
0xc5dd,WRAM,wSurfingMinigameTotalScore+1,IDENTICAL_ADDRESS,0xc5dd,"structural inference: base symbol wSurfingMinigameTotalScore is IDENTICAL_ADDRESS in German (ROM offset 0xa989 (bank 2): identical opcode+operand bytes 31dcc5 in both ROMs) — offset 1 applied unverified, not independently confirmed",structural_inference
0xccd3,WRAM,wCanEvolveFlags,IDENTICAL_ADDRESS,0xccd3,ROM offset 0xc9e (bank 0): identical opcode+operand bytes ead3cc in both ROMs,direct_symbol_match
0xcf2c,WRAM,wStatusScreenHPBarColor+8(past declared size 1),RELOCATED,0xcf31,"dynamic runtime confirmation (2026-08-12, BizHawk, write breakpoint on candidate 0xCF31): fired while entering and while exiting the Pokemon party menu; one captured hit showed A=04 at the write instruction (PC ~0x5A99, `ld [hl],a`) with only Pikachu in the party -- consistent with the party-menu HP-bar-color loop index write at this aliased byte (wCopyingSGBTileData/wWhichPartyMenuHPBar/wPalPacket). Multi-slot 0..5 cycling wasn't observed only because a single-Pokemon party gives no further slots to cycle through, not evidence against the mapping. Prior structural inference (base+5, cross-validated against French's independently confirmed write-breakpoint result at the same semantic site) is now independently confirmed for German.",direct_dynamic_evidence
0xcfc3,WRAM,wFontLoaded,RELOCATED,0xcfc8,"ROM offset 0x14033 (bank 5): same opcode (0xfa) at the same site, operand changed from 0xcfc3 to 0xcfc8",direct_symbol_match
0xcfe4,WRAM,wEnemyMonSpecies,RELOCATED,0xcfe9,"ROM offset 0x4129 (bank 1): same opcode (0xfa) at the same site, operand changed from 0xcfe4 to 0xcfe9",direct_symbol_match
0xd013,WRAM,wBattleMonSpecies,RELOCATED,0xd018,"ROM offset 0x3c7c4 (bank 15): same opcode (0xfa) at the same site, operand changed from 0xd013 to 0xd018",direct_symbol_match
0xd056,WRAM,wIsInBattle,RELOCATED,0xd05b,"ROM offset 0x3f8 (bank 0): same opcode (0xfa) at the same site, operand changed from 0xd056 to 0xd05b",direct_symbol_match
0xd157,WRAM,wPlayerName,RELOCATED,0xd15c,"ROM offset 0x17c8 (bank 0): same opcode (0x11) at the same site, operand changed from 0xd157 to 0xd15c",direct_symbol_match
0xd162,WRAM,wPartyCount,RELOCATED,0xd167,"ROM offset 0x120d (bank 0): same opcode (0xfa) at the same site, operand changed from 0xd162 to 0xd167",direct_symbol_match
0xd163,WRAM,wPartySpecies,RELOCATED,0xd168,"ROM offset 0x127c (bank 0): same opcode (0x21) at the same site, operand changed from 0xd163 to 0xd168",direct_symbol_match
0xd164,WRAM,wPartySpecies+1,RELOCATED,0xd169,"structural inference: base symbol wPartySpecies is RELOCATED in German (ROM offset 0x127c (bank 0): same opcode (0x21) at the same site, operand changed from 0xd163 to 0xd168) — offset 1 applied unverified, not independently confirmed",structural_inference
0xd165,WRAM,wPartySpecies+2,RELOCATED,0xd16a,"structural inference: base symbol wPartySpecies is RELOCATED in German (ROM offset 0x127c (bank 0): same opcode (0x21) at the same site, operand changed from 0xd163 to 0xd168) — offset 2 applied unverified, not independently confirmed",structural_inference
