asset_id,asset_type,title,source_memory_refs,german_memory_refs,n_conditions,n_addr_relocated,status,exception
4428,achievement,Showdown in Pewter City,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4429,achievement,The Water Flower of Cerulean City,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4430,achievement,Electric Shock Showdown,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4431,achievement,Pokemon Scent-sation,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4432,achievement,The Ninja Poke-Showdown,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4433,achievement,Psychic Showdown,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4434,achievement,Volcanic Panic,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4435,achievement,Team Rocket's Blasting Off Again!,"0xcf2c,0xd355,0xd35d","0xcf31,0xd35a,0xd362",4,4,RELOCATED,
4437,achievement,Pokemon Master!,"0xd35d,0xd360,0xd361","0xd362,0xd365,0xd366",4,4,RELOCATED,
81655,achievement,Pokemon - I Choose You!,"0xd35d,0xd74d","0xd362,0xd752",4,4,RELOCATED,
81656,achievement,Smell You Later!,"0xd35d,0xd7ea","0xd362,0xd7ef",3,3,RELOCATED,
81659,achievement,Gatekeeper of the Nugget Bridge,"0xd35d,0xd759","0xd362,0xd75e",3,3,RELOCATED,
81665,achievement,Battle Aboard the St. Anne,"0xd35d,0xd664","0xd362,0xd669",3,3,RELOCATED,
81667,achievement,Not the most appropriate arena...,"0xd35d,0xd763","0xd362,0xd768",3,3,RELOCATED,
81672,achievement,Do we REALLY have to do this now?,"0xd35d,0xd82e","0xd362,0xd833",3,3,RELOCATED,
81679,achievement,Gatekeeper of Victory Road,"0xd35d,0xd7ea","0xd362,0xd7ef",3,3,RELOCATED,
81657,achievement,Prepare for Trouble!,"0xc026,0xd013,0xd35d,0xd360,0xd361","0xc026,0xd018,0xd362,0xd365,0xd366",9,5,RELOCATED,
81668,achievement,Make it Double!,"0xc026,0xd013,0xd35d,0xd360,0xd361","0xc026,0xd018,0xd362,0xd365,0xd366",11,7,RELOCATED,
81669,achievement,Protect the World From Devastation,"0xd35d,0xd81a","0xd362,0xd81f",3,3,RELOCATED,
81670,achievement,Unite All Peoples Within Our Nation,"0xc026,0xd013,0xd35d,0xd360,0xd361","0xc026,0xd018,0xd362,0xd365,0xd366",10,6,RELOCATED,
81673,achievement,Denounce the Evils of Truth and Love,"0xc026,0xd013,0xd35d,0xd360,0xd361","0xc026,0xd018,0xd362,0xd365,0xd366",10,6,RELOCATED,
81674,achievement,Extend Our Reach to the Stars Above,"0xd35d,0xd837","0xd362,0xd83c",3,3,RELOCATED,
4436,achievement,Preparing to Be the Very Best,0xd162,0xd167,2,2,RELOCATED,
4439,achievement,Halfway,"0xd163,0xd164,0xd165,0xd166,0xd167,0xd168,0xd18b,0xd1b7,0xd1e3,0xd20f,0xd23b,0xd267,0xd360","0xd168,0xd169,0xd16a,0xd16b,0xd16c,0xd16d,0xd190,0xd1bc,0xd1e8,0xd214,0xd240,0xd26c,0xd365",61,61,RELOCATED,
4441,achievement,Attack of the Prehistoric Pokemon,"0xd35d,0xd7f5","0xd362,0xd7fa",5,5,RELOCATED,
4443,achievement,King of the Dojo,"0xd35d,0xd7b0","0xd362,0xd7b5",3,3,RELOCATED,
4445,achievement,The Tower of Terror,"0xc026,0xcfe4,0xd35d,0xd360,0xd361","0xc026,0xcfe9,0xd362,0xd365,0xd366",6,4,RELOCATED,
4446,achievement,The Sleeper Awakens,"0xc026,0xcfe4,0xd307,0xd35d,0xd360","0xc026,0xcfe9,0xd30c,0xd362,0xd365",7,6,RELOCATED,
4447,achievement,"Uno, Dos, Tres","0xd307,0xd308","0xd30c,0xd30d",6,6,RELOCATED,
4448,achievement,Creation Gone Wrong,"0xd308,0xd35d","0xd30d,0xd362",4,4,RELOCATED,
81658,achievement,Fish Out Of Water,"0xd35d,0xd7c5","0xd362,0xd476",3,3,RELOCATED,
81661,achievement,Take care of Bulbasaur!,"0xd2f6,0xd35d","0xd2fb,0xd362",3,3,RELOCATED,
81660,achievement,Charmander - The Stray Pokemon,"0xd2f6,0xd35d,0xd360,0xd361","0xd2fb,0xd362,0xd365,0xd366",7,7,RELOCATED,
81666,achievement,Here Comes the Squirtle Squad!,"0xd2f6,0xd35d,0xd360,0xd361","0xd2fb,0xd362,0xd365,0xd366",7,7,RELOCATED,
81662,achievement,King of Fighters,"0xd35d,0xd737","0xd362,0xd73c",3,3,RELOCATED,
81663,achievement,It's Mr. Mime Time!,"0xd35d,0xd736","0xd362,0xd73b",3,3,RELOCATED,
81664,achievement,Can You Dig It?,"0xd35d,0xd736","0xd362,0xd73b",3,3,RELOCATED,
81671,achievement,The Problem with Parasect,"0xd35d,0xd736","0xd362,0xd73b",3,3,RELOCATED,
81676,achievement,Literal Pile of S***,"0xd35d,0xd736","0xd362,0xd73b",3,3,RELOCATED,
