address,region,n_assets,n_conditions,usage_types,access_forms,sizes,prior_mapping_status,has_code_note,code_note_excerpt,english_symbol,symbol_source,italian_address,classification,rom_evidence,compared_literals,sample_assets,resolution_method
0xd35d,WRAM,48,79,achievement;leaderboard;rich_presence,current;delta,8-bit,RELOCATED,True,Map location,wCurMap,phase4_symbol,0xd362,RELOCATED,resolved by Phase 4 (address_mapping.csv),Showdown in Pewter City:=54; The Water Flower of Cerulean City:=65; Electric Shock Showdown:=92,Attack of the Prehistoric Pokemon;Battle Aboard the St. Anne;Can You Dig It?,direct_rom_evidence
0xd450,WRAM,28,56,achievement,current;delta,8-bit,RELOCATED,True,possible current interaction,wPikaPicAnimCurGraphicID,phase4_symbol,0xd455,RELOCATED,resolved by Phase 4 (address_mapping.csv),A N G E R Y:=28; A N G E R Y:=29; Smug Little Rat:=11,A N G E R Y;Angry Ear Twitches;Best Friends Forever,direct_rom_evidence
0xd46f,WRAM,18,36,achievement,current,8-bit,RELOCATED,True,Pikachu's Happiness,wPikachuHappiness,phase4_symbol,0xd474,RELOCATED,resolved by Phase 4 (address_mapping.csv),A N G E R Y:>=0; A N G E R Y:<=50; Smug Little Rat:>=0,A N G E R Y;Angry Ear Twitches;Best Friends Forever,direct_rom_evidence
0xd470,WRAM,18,36,achievement,current,8-bit,RELOCATED,True,Pikachu's mood 0-7f=Bad 80=Normal 81-ff=Good,wPikachuMood,phase4_symbol,0xd475,RELOCATED,resolved by Phase 4 (address_mapping.csv),A N G E R Y:>=0; A N G E R Y:<=127; Smug Little Rat:>=128,A N G E R Y;Angry Ear Twitches;Best Friends Forever,direct_rom_evidence
0xd360,WRAM,13,21,achievement,current,16-bit;8-bit,RELOCATED,True,Coordinate - Y,wYCoord,phase4_symbol,0xd365,RELOCATED,resolved by Phase 4 (address_mapping.csv),Pokemon Master!:=0; Prepare for Trouble!:=4; Make it Double!:=14,Charmander - The Stray Pokemon;Clefairy Used Attract;Denounce the Evils of Truth and Love,direct_rom_evidence
0xc026,WRAM,10,22,achievement,current;delta,8-bit,IDENTICAL_ADDRESS,True,Audio Track Channel 1 [8-bit]  BA = Pallet Town EA = Gym Leader Battle ED = Trainer Battle F0 = Wild Battle F3 = Final B,wChannelSoundIDs,phase4_symbol,0xc026,IDENTICAL,resolved by Phase 4 (address_mapping.csv),Prepare for Trouble!:=156; Prepare for Trouble!:=246; Prepare for Trouble!:!=237,Denounce the Evils of Truth and Love;Just Give Me 5 More Minutes;Make it Double!,direct_rom_evidence
0xd355,WRAM,10,21,achievement;leaderboard;rich_presence,current;delta,8-bit;bit0;bit1;bit2;bit3;bit4;bit5;bit6;bit7;bitcount,RELOCATED,True,[bitflag] Badges won  bit0: Boulder Badge bit1: Cascade Badge bit2: Thunder Badge bit3: Rainbow Badge bit4: Soul Badge b,wObtainedBadges,phase4_symbol,0xd35a,RELOCATED,resolved by Phase 4 (address_mapping.csv),Showdown in Pewter City:=0; Showdown in Pewter City:=1; The Water Flower of Cerulean City:=0,Electric Shock Showdown;Pokemon Scent-sation;Psychic Showdown,direct_rom_evidence
0xd361,WRAM,10,16,achievement,current,8-bit,RELOCATED,True,Coordinate - X,wXCoord,phase4_symbol,0xd366,RELOCATED,resolved by Phase 4 (address_mapping.csv),Pokemon Master!:=3; Prepare for Trouble!:=3; Make it Double!:>=24,Charmander - The Stray Pokemon;Clefairy Used Attract;Denounce the Evils of Truth and Love,direct_rom_evidence
0xcf2c,WRAM,8,8,achievement,current,8-bit,UNMAPPED,True,"Reacts to talking to Pikachu. Is 0 only on title AND menu screen. Loads later than the save data, can be used for save p",wStatusScreenHPBarColor+8(past declared size 1),nearest_symbol,0xcf31,RELOCATED,"dynamically confirmed: BizHawk GB System Bus watch of Italian 0xcf2c (unshifted, control) and 0xcf31 (+5 candidate) across title screen / Continue-New Game menu / normal overworld / an ordinary battle. 0xcf2c read 00 in all four states (ruled out — never leaves the gameplay-running guard's failing value). 0xcf31 read 00 on title screen and the Continue/New Game menu, then 51 during normal overworld gameplay and during an ordinary battle — reproducing English 0xcf2c's >0-during-gameplay, =0-on-title/menu behavior exactly; exact +5 match",Showdown in Pewter City:>0; The Water Flower of Cerulean City:>0; Electric Shock Showdown:>0,Electric Shock Showdown;Pokemon Scent-sation;Psychic Showdown,dynamic_confirmation
0xd2f6,WRAM,5,11,achievement;rich_presence,current;delta,bit0;bit3;bit6;bitcount,RELOCATED,True,Pokedex Caught bitflags Start  b0-Bulbasaur b1-Ivysaur b2-Venusaur b3-Charmander b4-Charmeleon b5-Charizard b6-Squirtle ,wPokedexOwned,phase4_symbol,0xd2fb,RELOCATED,resolved by Phase 4 (address_mapping.csv),Take care of Bulbasaur!:=1; Take care of Bulbasaur!:=0; Charmander - The Stray Pokemon:=1,Charmander - The Stray Pokemon;Gotta Catch 'em All - Yellow;Here Comes the Squirtle Squad!,direct_rom_evidence
0xd736,WRAM,5,10,achievement,current;delta,bit0;bit1;bit3;bit5;bit7,UNMAPPED,True,Trade List - Bitflags Bit0 = Lickitung for Dugtrio Bit1 = Clefairy for Mr. Mime Bit3 = Kangaskhan for Muk Bit5 = Tangela,wCompletedInGameTradeFlags+1,nearest_symbol,0xd73b,RELOCATED,"structural inference: base symbol wCompletedInGameTradeFlags is RELOCATED +5 (0xd735->0xd73a, ROM offset 0x39a bank 0, 37 English reference sites, address_mapping.csv), and its own +2 offset (0xd737, past the declared 2-byte size) was independently dynamically confirmed +5 (0xd737->0xd73c, data/dynamic_test_targets.csv T6) -- this address (+1, within the base symbol's own declared 2-byte size) inherits the same +5 delta. Supersedes the prior nearest_symbol ROM match to 0xd2b9 (ROM offset 0x71ded, bank 28): that was the same coincidental same-opcode-different-site false-positive pattern already caught and corrected elsewhere in this project (wPartyMon1Moves, wEventFlags+145, wEventFlags+233, wPokedexOwned+13) -- 0xd2b9 is actually wPartyMon1Nick+5 (an unrelated field, see address_mapping.csv row for 0xd2b4), not a trade-flags equivalent. Not independently dynamically tested at this specific offset; a Lickitung-for-Dugtrio, Clefairy-for-Mr.-Mime, Kangaskhan-for-Muk, Tangela-for-Parasect, or Golduck-for-Rhydon trade watched at Italian 0xd73b would settle it directly, mirroring T6's method",It's Mr. Mime Time!:=1; It's Mr. Mime Time!:=0; Can You Dig It?:=1,Can You Dig It?;It's Mr. Mime Time!;Literal Pile of S***,structural_inference
0xd013,WRAM,4,8,achievement,current,8-bit,RELOCATED,True,Own Pokemon ID,wBattleMonSpecies,phase4_symbol,0xd018,RELOCATED,resolved by Phase 4 (address_mapping.csv),Prepare for Trouble!:=0; Prepare for Trouble!:!=84; Make it Double!:=0,Denounce the Evils of Truth and Love;Make it Double!;Prepare for Trouble!,direct_rom_evidence
0xd307,WRAM,4,9,achievement;rich_presence,current;delta,bit6;bit7;bitcount,UNMAPPED,True,b0-Porygon b1-Omanyte b2-Omastar b3-Kabuto b4-Kabutops b5-Aerodactyl b6-Snorlax b7-Articuno,wPokedexOwned+17,nearest_symbol,0xd30c,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 17 applied unverified, not independently confirmed",The Sleeper Awakens:=1; The Sleeper Awakens:=0,Gotta Catch 'em All - Yellow;Rich Presence;The Sleeper Awakens,structural_inference
0xd308,WRAM,4,20,achievement;rich_presence,current;delta,bit0;bit1;bit5;bit6;bit7;bitcount,UNMAPPED,True,b0-Zapdos b1-Moltres b2-Dratini b3-Dragonair b4-Dragonite b5-Mewtwo b6-Mew,wPokedexOwned+18,nearest_symbol,0xd30d,RELOCATED,"structural inference: base symbol wPokedexOwned is RELOCATED (ROM offset 0xd615 (bank 3): same opcode (0x21) at the same site, operand changed from 0xd2f6 to 0xd2fb) — offset 18 applied unverified, not independently confirmed","Uno, Dos, Tres:=2; Uno, Dos, Tres:=3; Creation Gone Wrong:=1",Creation Gone Wrong;Gotta Catch 'em All - Yellow;Rich Presence,structural_inference
0xd35a,WRAM,3,4,achievement;leaderboard;rich_presence,current,8-bit,RELOCATED,True,Music ID,wMapMusicSoundID,phase4_symbol,0xd35f,RELOCATED,resolved by Phase 4 (address_mapping.csv),Who Needs Flash?:=231; Pikachu’s Beach:=243,Pikachu’s Beach;Rich Presence;Who Needs Flash?,direct_rom_evidence
0xcfc3,WRAM,2,3,achievement,current;delta,8-bit,RELOCATED,True,01=paused?,wFontLoaded,phase4_symbol,0xcfc8,RELOCATED,resolved by Phase 4 (address_mapping.csv),"Safari Perfectionist:=0; Safari Perfectionist:=1; Look, I'm Dancing!:=1","Look, I'm Dancing!;Safari Perfectionist",direct_rom_evidence
0xcfe4,WRAM,2,2,achievement,current,8-bit,RELOCATED,True,Current Enemy ID,wEnemyMonSpecies,phase4_symbol,0xcfe9,RELOCATED,resolved by Phase 4 (address_mapping.csv),The Tower of Terror:=145; The Sleeper Awakens:=132,The Sleeper Awakens;The Tower of Terror,direct_rom_evidence
0xd162,WRAM,2,3,achievement,current;delta,8-bit,RELOCATED,True,Number of pokemon in party,wPartyCount,phase4_symbol,0xd167,RELOCATED,resolved by Phase 4 (address_mapping.csv),Preparing to Be the Very Best:=6; Preparing to Be the Very Best:=5; That's Shocking!:!=1,Preparing to Be the Very Best;That's Shocking!,direct_rom_evidence
0xd163,WRAM,2,8,achievement,current,8-bit,RELOCATED,True,Pokemon 1 ID [8-bit]  IDs in this game do NOT match up with the Pokedex! That's handled elsewhere.,wPartySpecies,phase4_symbol,0xd168,RELOCATED,resolved by Phase 4 (address_mapping.csv),Halfway:!=0; Halfway:!=73; Halfway:!=74,Halfway;That's Shocking!,direct_rom_evidence
